Item Type,Item URL Label (image),Item Name,Item Price ($),Item URL (image)
Shoes,Converse,CONVERSE X COMME DES GARCONS PLAY ALL STAR CHUCK,150,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSoYi0kKaMUf7hJpbkOkrten5j2oFScSG2QSWZlU5LZuB9LHc5xE0Ky2rQcDMuvuUvaT4nLV0fD0lT0_o2ZgxLP7Hc0JPIkM6X_I3pRnJ5W7uiAEcskkK44Fw&usqp=CAE
Shoes,yeezy,"YEEZY BOOST 350 V2 ""BUTTER""",320,https://www.flightclub.com/media/catalog/product/cache/1/image/1600x1140/9df78eab33525d08d6e5fb8d27136e95/8/0/804276_01.jpg
Shoes,Air Jordan 13,"AIR JORDAN 13 RETRO ""MELO CLASS OF 2002 ""B-GRADE""""",190,https://www.flightclub.com/media/catalog/product/cache/1/image/1600x1140/9df78eab33525d08d6e5fb8d27136e95/8/0/805047_01.jpg
Shoes,Air Jordan 3,"AIR JORDAN 3 RETRO TINKER ""AIR MAX 1""",220,https://www.flightclub.com/media/catalog/product/cache/1/image/1600x1140/9df78eab33525d08d6e5fb8d27136e95/1/3/137356_01.jpg
Shoes,Air Jordan 5,"AIR JORDAN 5 RETRO ""ORANGE PEEL""",325,https://www.flightclub.com/media/catalog/product/cache/1/image/1600x1140/9df78eab33525d08d6e5fb8d27136e95/8/0/804620_01.jpg
Shoes,adidas,STAN SMITH SHOES,120,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/5b690ecdb9844bc682deab1800a6394e_9366/Disney_Mickey_Mouse_Stan_Smith_Shoes_White_FW2895_01_standard.jpg"
Shoes,adidas NMD,NMD_R1 SHOES,130,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/189b449050ef49b1aa68a8ba010163e6_9366/NMD_R1_Shoes_White_D96635_01_standard.jpg"
Shoes,adidas basketball shoes,DAME 6 SHOES,110,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/6c1645d3849d48b5b7aeaaf701609b1e_9366/Dame_6_Shoes_White_EH2069_01_standard.jpg"
Shoes,adidas NMD,NMD_R1 SHOES,130,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/95cb424c956147479be0ab0c011a7bb0_9366/NMD_R1_Shoes_White_FV7852_01_standard.jpg"
Shoes,adidas,NITE JOGGER STAR WARS SHOES,130,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/5701fd1c843c44e69d43aae8000174ef_9366/Nite_Jogger_Star_Wars_Shoes_White_FW2287_01_standard.jpg"
clothes,Champion,Champion sweatshirt,16.97,https://www.hautelookcdn.com/resizer/868x1300/products/C8864R/large/11830065.jpg
clothes,Champion,CHAMPION embroidered logo hoodie,109,https://cdn-images.farfetch-contents.com/14/42/43/09/14424309_23815057_1000.jpg
clothes,Tommy,TOMMY JEANS FLAG POLAR FLEECE JACKET,139,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/4/14-10-2019_tommyjeans_flagpolarfleecejacket_navyblazer_multi_dm0dm07633chs_cw_1.jpg"
clothes,Tommy,Tommy Jeans Men's Cotton Crew Neck Flag Sweater,89,"https://m.media-amazon.com/images/I/31Y0NNktizL._AC_SR320,400_.jpg"
clothes,Tommy,Tommy Flag Crew Sweater,179,https://img1.theiconic.com.au/WUaGZFCuwbvx9_uaPUYBF-fibG0=/634x811/filters:quality(95):fill(ffffff)/http%3A%2F%2Fstatic.theiconic.com.au%2Fp%2Ftommy-jeans-5154-711528-1.jpg
clothes,Polo,Polo Ralph Lauren,39.5,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/13117980_fpx.tif?op_sharpen=1&wid=1230&hei=1500&fit=fit,1&$filterxlrg$"
clothes,Polo,Polo Ralph Lauren,85,https://cache.mrporter.com/variants/images/4068790126487369/in/w2000_q80.jpg
clothes,Polo,Polo Ralph Lauren Mens Big Pony Custom Slim Fit Three Button Crest Polo,98.38,"https://images-na.ssl-images-amazon.com/images/I/81QkWe37CYL._AC_UL480_SR411,480_.jpg"
clothes,Zara,The One-Button Blazer In Windowpane,119.99,https://anninc.scene7.com/is/image/AN/509128_6371?$pdp2x$
clothes,bape t-shirt,REVERSE COLLEGE LONG SLEEVE TEE MENS,129,https://cdn.shopify.com/s/files/1/0214/3706/products/001LTG201019_GRA_A_1024x1024.jpg?v=1583433524
pants,women pants adidas,DANIËLLE CATHARI TRACK PANTS,90,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/e454ca15fcd0469bb658ab110108ce59_9366/Danielle_Cathari_Track_Pants_Yellow_FS6496_21_model.jpg"
pants,Nike Dri-FIT,Nike Dri-FIT,55,"https://c.static-nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/89650ad3-bf73-4bb3-97e4-41d41986bf45/dri-fit-mens-fleece-training-pants-P34R4N.jpg"
pants,Champion pants,Champion® Graphic Jersey Joggers,22.5,https://belk.scene7.com/is/image/Belk?layer=0&src=3203454_GP08HY07234_A_001_T10L00&layer=comp&$DWP_PRODUCT_PDP_LARGE$
pants,Supreme pants,SUPREME LOGO PANTS,210,https://di2ponv0v5otw.cloudfront.net/posts/2018/04/22/5add41acfcdc311dbff8f22e/m_5add41bda6e3eaf073de36f7.jpg
pants,ZELOS,ZELOS Soccer Pants,16.78,https://belk.scene7.com/is/image/Belk?layer=0&src=3203592_3442312_A_001_T10L00&layer=comp&$DWP_PRODUCT_PDP_LARGE$
pants,Nike x Off-White Pro,Nike x Off-White Pro,160,"https://c.static-nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-f379fd2e-2be4-454a-9ab0-783cb7ba8ab6/off-white%E2%84%A2-pro-mens-tights-NzgnHX.jpg"
pants,Nike Sportswear,Nike Sportswear,65,"https://c.static-nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/tqehu1vp60pamiwklmqu/sportswear-womens-joggers-b5WFJr.jpg"
